IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
400,16.73,333.2,20.64,69.1,0.81x,4.82x,Standard
420,16.05,349.9,21.34,69.1,0.75x,5.06x,Standard
440,17.89,366.5,21.06,69.1,0.85x,5.30x,Standard
460,18.74,383.2,21.97,69.1,0.85x,5.54x,Standard
480,19.46,399.8,22.17,69.2,0.88x,5.78x,Standard
500,21.32,416.5,22.96,69.1,0.93x,6.02x,Standard
520,22.42,433.2,22.38,69.1,1.00x,6.27x,Nova
540,24.60,449.8,23.69,69.1,1.04x,6.51x,Nova
560,23.25,466.5,25.67,69.2,0.91x,6.74x,Standard
580,27.00,483.1,26.91,69.1,1.00x,6.99x,Nova
600,28.73,499.8,27.36,69.1,1.05x,7.23x,Nova
620,32.49,516.5,30.67,69.2,1.06x,7.47x,Nova
640,32.34,533.1,28.16,69.2,1.15x,7.71x,Nova
660,29.05,549.8,26.67,69.2,1.09x,7.95x,Nova
680,29.89,566.4,26.84,69.2,1.11x,8.19x,Nova
700,30.53,583.1,27.57,69.2,1.11x,8.43x,Nova
720,45.92,599.5,50.35,69.1,0.91x,8.67x,Standard
740,52.17,616.4,56.26,69.1,0.93x,8.92x,Standard
760,34.58,633.1,29.56,69.1,1.17x,9.16x,Nova
780,33.42,649.7,29.62,69.1,1.13x,9.40x,Nova
800,34.22,666.4,30.36,69.2,1.13x,9.63x,Nova
