IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.43,83.3,22.97,69.2,0.15x,1.20x,Standard
200,8.02,166.6,30.27,69.2,0.26x,2.41x,Standard
300,12.55,249.9,38.07,69.2,0.33x,3.61x,Standard
400,17.95,333.2,45.62,69.1,0.39x,4.82x,Standard
500,19.43,416.5,55.72,69.1,0.35x,6.02x,Standard
