IoT Readings,Standard Total (s),Standard Size (KB),Nova Total (s),Nova Size (KB),Time Advantage (Std/Nova),Winner
10,0.43,8.3,15.07,69.1,0.03x,Standard
25,0.92,20.8,16.27,69.1,0.06x,Standard
50,1.82,41.7,17.82,69.1,0.10x,Standard
75,2.77,62.5,19.97,69.1,0.14x,Standard
100,3.68,83.3,23.26,69.1,0.16x,Standard
