IoT Readings,Std Prove (s),Std Verify (s),Nova Prove (s),Nova Verify (s)
100,2.8762056827545166,0.6328035195668539,7.660298585891724,2.26167360941569
200,5.767242829004924,1.2717886765797932,8.365511655807495,2.2741101582845054
300,8.656153678894043,1.9195998509724934,9.161943038304647,2.2886643409729004
400,11.496431748072306,2.537895758946737,9.788046280543009,2.273953676223755
500,14.364395380020142,3.1764639218648276,10.574909369150797,2.2882536252339682
600,17.150234301884968,3.799736817677816,11.196966807047525,2.279232899347941
700,19.980607668558758,4.405666430791219,11.916470766067505,2.2748025258382163
800,22.77904423077901,5.0459245045979815,12.689057191212973,2.283405145009359
900,25.586395263671875,5.647528966267903,13.278829097747803,2.283500830332438
1000,28.46431064605713,6.268120924631755,14.062351703643799,2.2701578934987388
1100,31.38355628649394,6.917885700861613,14.737090508143107,2.2714410622914634
1200,34.19868961970011,7.550059795379639,15.431613127390543,2.2717419465382895
1300,37.10131994883219,8.171831051508585,16.215264320373535,2.273765961329142
1400,39.882575591405235,8.80793277422587,17.062246958414715,2.2724714279174805
1500,42.8452418645223,9.499959230422974,17.75455657641093,2.2712247371673584
