IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.73,83.3,13.19,69.2,0.28x,1.20x,Standard
200,8.41,166.6,15.15,69.2,0.56x,2.41x,Standard
300,14.10,249.9,17.19,69.2,0.82x,3.61x,Standard
400,16.95,333.2,22.09,69.1,0.77x,4.82x,Standard
500,22.41,416.5,23.03,69.1,0.97x,6.02x,Standard
600,26.01,499.8,25.93,69.1,1.00x,7.23x,Nova
700,30.41,583.1,28.74,69.2,1.06x,8.43x,Nova
800,35.25,666.4,31.21,69.2,1.13x,9.63x,Nova
900,38.61,749.7,31.87,69.2,1.21x,10.84x,Nova
1000,43.77,833.0,34.63,69.1,1.26x,12.05x,Nova
