IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.48,83.3,22.17,69.2,0.16x,1.20x,Standard
200,8.00,166.6,30.27,69.2,0.26x,2.41x,Standard
300,12.29,249.9,38.23,69.2,0.32x,3.61x,Standard
400,17.79,333.2,45.57,69.1,0.39x,4.82x,Standard
500,20.13,416.5,54.83,69.1,0.37x,6.02x,Standard
