IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,4.45,83.3,11.98,69.2,0.37x,1.20x,Standard
200,8.76,166.6,14.57,69.2,0.60x,2.41x,Standard
300,11.37,249.9,18.00,69.2,0.63x,3.61x,Standard
400,14.86,333.2,20.73,69.1,0.72x,4.82x,Standard
500,21.08,416.5,21.78,69.1,0.97x,6.02x,Standard
600,24.36,499.8,24.26,69.1,1.00x,7.23x,Nova
700,29.02,583.1,28.51,69.2,1.02x,8.43x,Nova
800,33.77,666.4,30.18,69.2,1.12x,9.63x,Nova
900,37.28,749.7,32.13,69.2,1.16x,10.84x,Nova
1000,42.53,833.0,35.34,69.1,1.20x,12.05x,Nova
