IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
1000,92.33,833.0,46.86,1328.0,1.97x,0.63x,Nova
1500,137.73,1249.5,60.86,1329.4,2.26x,0.94x,Nova
2000,183.11,1665.7,74.50,1330.8,2.46x,1.25x,Nova
