IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.87,83.3,14.31,69.2,0.27x,1.20x,Standard
200,6.66,166.6,19.86,69.2,0.34x,2.41x,Standard
300,8.54,249.9,24.49,69.2,0.35x,3.61x,Standard
400,13.29,333.2,28.47,69.1,0.47x,4.82x,Standard
500,17.09,416.5,31.79,69.1,0.54x,6.02x,Standard
