IoT Readings,Std Prove (s),Std Verify (s),Nova Prove (s),Nova Verify (s)
100,    3.0285538832346597, 0.7339203357696533, 19.51610040664673,  2.632962465286255
200,    6.737367073694865,  1.4406737486521404, 27.778101523717243, 2.675473610560099
300,    10.456434885660807, 2.175567547480265,  36.84147461255392,  1.8961913585662842
400,    14.908409277598063, 2.8710511525472007, 43.875258445739746, 2.6880107720692954
500,    16.97278602917989,  3.6146604220072427, 53.665526946385704, 1.886912743250529
600,    19.864792267481487, 4.3338760534922285, 61.61803420384725,  2.6815897623697915
700,    24.190728187561035, 5.018682638804118,  69.41842579841614,  1.768186330795288
800,    27.002445141474407, 5.758663018544515,  77.7375693321228,   2.6942442258199057
900,    29.599532683690388, 6.489480177561442,  86.7037038008372,   1.7477587064107258
1000,   33.050427993138634, 7.14472500483195,   94.97162596384685,  2.719548145929972
