IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
50,8.53,41.7,8.95,69.1,0.95x,0.60x,Standard
60,9.83,50.0,9.64,69.1,1.02x,0.72x,Nova
70,11.55,58.3,10.02,69.1,1.15x,0.84x,Nova
80,13.35,66.6,10.15,69.1,1.31x,0.96x,Nova
90,14.75,75.0,10.45,69.1,1.41x,1.08x,Nova
100,16.31,83.3,11.23,69.2,1.45x,1.20x,Nova
125,21.58,104.1,10.86,69.1,1.99x,1.51x,Nova
150,25.87,125.0,10.52,69.2,2.46x,1.81x,Nova
