Batch Size,Items,Standard Prove (s),Standard Verify (s),Standard Total (s),Standard Proofs,Standard Size (KB),Nova Prove (s),Nova Compress (s),Nova Verify (s),Nova Total (s),Nova Proofs,Nova Size (KB),Time Speedup,Verify Reduction,Storage Ratio
10,10,6.27,-6.27,0.00,10,77.6,2.67,4.06,2.05,8.77,1,69.1,0.7x,10:1,1.1:1
25,25,15.67,-15.67,0.00,25,194.1,3.06,4.00,2.53,9.59,1,69.2,1.6x,25:1,2.8:1
50,50,31.35,-31.35,0.00,50,388.1,3.11,3.99,2.55,9.66,1,69.2,3.2x,50:1,5.6:1
100,100,62.70,-62.70,0.00,100,776.2,4.38,4.01,2.54,10.92,1,69.2,5.7x,100:1,11.2:1
200,200,125.39,-125.39,0.00,200,1552.5,6.38,4.00,2.56,12.93,1,69.1,9.7x,200:1,22.5:1
